url,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,data_channel_is_lifestyle,data_channel_is_entertainment,data_channel_is_bus,data_channel_is_socmed,data_channel_is_tech,data_channel_is_world,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
http://mashable.com/2013/01/19/arches-of-hope/,719,12,342,0.538461536868,0.999999994845,0.721649480816,4,1,1,0,4.58479532164,7,1,0,0,0,0,0,217,610,383,0,51900,20957.1428571,0,2964.36363636,2059.67336161,2400,2400,2400,0,0,0,0,0,1,0,1,0.0286540175963,0.0287257976669,0.0285979639289,0.0285870678557,0.885435152952,0.234511784512,0.167760942761,0.0409356725146,0.00292397660819,0.933333333333,0.0666666666667,0.293073593074,0.0333333333333,1,-0.25,-0.25,-0.25,0,0,0.5,0,1900
http://mashable.com/2013/01/21/land-a-job-at-klout/,717,8,704,0.502865328792,0.999999997555,0.701711489727,10,7,1,0,4.59801136364,9,0,0,1,0,0,0,217,1200,637.333333333,0,51900,9766.66666667,0,3061.2,1573.52134849,1000,3200,2080,1,0,0,0,0,0,0,0,0.911047695108,0.0222231666238,0.0222224951676,0.0222517298643,0.0222549132361,0.540232173487,0.201692293556,0.0525568181818,0.0170454545455,0.755102040816,0.244897959184,0.377383877384,0.0333333333333,1,-0.209077380952,-0.4,-0.05,0,0,0.5,0,1600
http://mashable.com/2013/01/23/500px-removed-app-store/,715,7,1079,0.38951310825,0.999999998366,0.542483659244,4,2,1,0,4.49582947173,8,0,0,0,0,1,0,217,721,423.2,0,51900,14012.5,0,3322.11764706,1587.94086535,0,0,0,0,0,1,0,0,0,0,0,0.0250340479442,0.0250018783284,0.0251026600098,0.0251642670616,0.899697146656,0.461212970036,0.0986008191155,0.0305838739574,0.0157553290083,0.66,0.34,0.341578118851,0.05,1,-0.235130718954,-0.5,-0.1,0,0,0.5,0,2700
http://mashable.com/2013/03/09/star-trek-into-darkness/,670,13,185,0.626373622932,0.999999990654,0.75700933872,3,2,0,1,4.28648648649,9,0,0,0,0,0,0,217,1200,434.125,0,617900,290544.444444,0,4817.8192,3232.76238253,12800,12800,12800,0,0,0,0,0,1,0,1,0.0222663336256,0.512264171659,0.166648419051,0.276585160132,0.0222359155329,0.45098003848,0.202813852814,0.0702702702703,0.0108108108108,0.866666666667,0.133333333333,0.361588411588,0.05,1,-0.525,-1,-0.05,0.454545454545,0.136363636364,0.0454545454545,0.136363636364,7700
http://mashable.com/2013/03/23/google-alerts/,656,9,332,0.599388377372,0.999999995122,0.741463411017,6,4,1,0,4.67771084337,6,0,0,1,0,0,0,217,343,303.5,0,617900,146416.666667,0,3235.82319793,1787.45620797,3200,11900,7550,0,0,0,0,0,1,0,1,0.441562750666,0.0333628873606,0.337854570631,0.0333498988537,0.153869892488,0.504808286951,0.223840445269,0.0451807228916,0.00602409638554,0.882352941176,0.117647058824,0.33670995671,0.1,0.8,-0.125,-0.125,-0.125,0,0,0.5,0,8600
http://mashable.com/2013/03/28/cyber-aces/,651,8,559,0.54151624451,0.999999996894,0.75465838275,6,3,1,0,4.69051878354,5,0,0,0,0,0,1,217,386,300.6,16900,617900,383920,1633.55,5026.21505376,3146.94640655,1300,16900,7000,0,0,0,1,0,0,0,0,0.0400000981931,0.0400000297829,0.839997734339,0.0400000931763,0.0400020445084,0.429198663655,0.171886410691,0.0608228980322,0.0143112701252,0.809523809524,0.190476190476,0.332576712503,0.05,1,-0.233854166667,-0.5,-0.1,0,0,0.5,0,1200
http://mashable.com/2013/04/15/crashalert-texting-app/,633,12,687,0.504385964175,0.999999997487,0.703517586172,13,0,1,0,4.88500727802,7,1,0,0,0,0,0,4,693,368.166666667,0,617900,111771.428571,0,3299.81894619,2436.52199803,0,0,0,1,0,0,0,0,0,0,0,0.0288094117988,0.170920837765,0.0286143217866,0.0286086034453,0.743046825204,0.394266646052,0.164048488714,0.0436681222707,0.0232896652111,0.652173913043,0.347826086957,0.43420995671,0.0333333333333,1,-0.224739583333,-0.9,-0.05,0.5,0.5,0,0.5,1900
http://mashable.com/2013/05/29/everest-base-jump/,589,8,220,0.649532707245,0.999999992188,0.781249993896,5,4,0,2,4.30454545455,5,0,1,0,0,0,0,4,340,187.2,40400,690400,412080,2238.75829384,4922.08015564,3651.88947493,1500,1500,1500,0,0,1,0,0,0,0,0,0.0400020400143,0.0412983595515,0.040086278073,0.838613261022,0.0400000613394,0.53667027417,-0.0399711399711,0.0363636363636,0.0454545454545,0.444444444444,0.555555555556,0.254545454545,0.1,0.5,-0.315555555556,-0.8,-0.05,1,-0.8,0.5,0.8,3100
http://mashable.com/2013/06/16/twitter-lemmings/,570,8,120,0.825688065819,0.999999987342,0.860759482775,3,1,0,10,4.76666666667,6,0,0,0,0,0,0,4,26600,4630.33333333,11300,690400,347133.333333,3283.34991747,26600,9230.76805547,15500,15500,15500,1,0,0,0,0,0,0,0,0.0333336448307,0.0333476379096,0.0333335269557,0.866651643737,0.0333335465674,0.5125,0.38125,0.0666666666667,0,1,0,0.43125,0.1,0.85,0,0,0,1,-0.25,0.5,0.25,1300
http://mashable.com/2013/06/25/urbantxt/,562,11,314,0.568106310405,0.999999994652,0.689839568504,28,2,1,0,4.56687898089,5,0,0,0,0,0,0,4,796,327.5,0,690400,288840,0,9269.375,4002.38955923,42500,42500,42500,0,1,0,0,0,0,0,0,0.0400038534617,0.0400590034573,0.0400023252442,0.83993298245,0.0400018353867,0.728125,0.0625,0.0286624203822,0.015923566879,0.642857142857,0.357142857143,0.405555555556,0.2,1,-0.43,-0.6,-0.1,0.65,0.35,0.15,0.35,3000
